x,y
59,10
5,36
175,30
57,248
163,178
237,76
23,198
33,32
11,90
213,116
127,110
9,72
115,2
189,156
231,22
241,112
219,170
165,196
79,190
217,152
67,82
141,236
183,102
193,192
171,250
117,20
31,14
169,232
19,162
93,60
135,182
145,16
123,74
69,100
239,94
121,56
227,242
45,140
87,6
97,96
75,154
21,180
191,174
73,136
179,66
253,220
39,86
49,176
27,234
229,4
143,254
25,216
131,146
205,44
247,166
1,0
235,58
181,84
95,78
233,40
83,226
157,124
199,246
209,80
187,138
133,164
47,158
185,120
35,50
109,204
151,70
161,160
139,218
85,244
255,238
137,200
243,130
61,28
103,150
113,240
91,42
37,68
207,62
89,24
195,210
13,108
55,230
65,64
43,122
245,148
159,142
41,104
147,34
221,188
7,54
17,144
251,202
197,228
111,222
249,184
99,114
173,12
215,134
225,224
203,26
149,52
63,46
201,8
51,194
125,92
167,214
177,48
155,106
101,132
15,126
153,88
3,18
77,172
119,38
129,128
107,186
53,212
223,206
105,168
211,98
29,252
71,118
81,208
