x,y
23,35
200,143
234,122
125,7
157,50
220,56
71,122
247,147
57,104
5,69
195,235
165,118
36,141
213,127
24,218
254,62
206,47
169,198
205,184
234,38
95,107
229,199
90,166
15,220
33,147
126,20
138,228
113,36
163,174
136,70
133,187
235,134
76,83
11,148
187,26
133,246
189,26
192,106
71,23
170,207
227,104
77,40
76,109
27,190
5,239
171,164
42,138
221,150
42,119
145,232
222,229
255,22
128,155
178,192
143,199
48,92
133,115
224,125
59,209
193,252
160,64
202,108
2,202
65,167
144,44
18,210
232,110
10,17
209,105
48,188
25,97
212,96
221,158
111,180
176,25
89,48
156,80
27,36
203,158
203,92
47,91
202,221
238,23
128,212
144,192
33,177
17,169
71,245
169,239
8,183
231,90
170,97
133,132
34,197
34,81
172,237
202,81
104,118
74,185
121,233
154,219
132,154
143,171
154,204
131,56
146,162
4,106
238,61
2,137
218,17
254,36
117,135
253,201
130,222
199,72
35,251
149,97
12,167
115,36
92,167
73,246
97,239
44,77
215,79
96,46
83,177
56,95
40,200
