x,y
252149039181,10
97442988689487,87443922374356
186231735346465,46639511274414
75856735677251,230663807087896
232116663927605,19312254590354
141917030058359,45706872929180
41257261493897,234100348350902
1648252851947,28889643230816
24467831454493,95224098022426
82762125674399,39470786214244
184021930163441,52661558843582
206617281253267,146729483729064
94540585846789,169389739406242
15160105018055,154851275450412
108227471110233,264544504256710
260195676026171,144938734177264
95669310278125,257355404274730
220932844583663,250606035101684
97329348978881,139502254494158
12490011813859,81043083378744
199975207215317,184442610806194
125103627579415,108759285225660
8363195401769,212435829334998
80700226963339,16281701971328
68293260799165,271027792812090
188694910362175,110874646715012
91767470205073,208045071429342
20562974782515,246252698864584
31282849369509,47473731865538
268141588492647,163240053624140
116533628874745,267396957803238
120775177326043,263435392230160
106327154549645,187041882073162
25919708511631,250390999961876
147846299335777,226114478223342
29582040331395,190693433662296
137597925183093,273573596909010
216368450250423,50514413225436
5757524176329,272553806587382
211408408496171,161208307668128
161096265379421,183268492467290
50266292128991,16342882405284
51118908662833,265099393389822
153551987075283,135451791765224
106650598482757,24464316740578
279684334129159,256119660773996
136550463258521,206263670643974
119612506568315,169980654619184
184434975952173,33730827482218
97785261510703,84986857179700
251028062281729,28482008833550
130531577434403,163551282562680
164740080749589,267757570932210
44308632956247,272999177339644
243974853862761,112317977868310
3984695679179,10680942052288
194334547558397,210066285047930
241214731880319,103043618507972
119493740752849,195540051675934
262227715288435,261826472927752
67872054233317,248037947173890
148642956000935,87898536101772
136554580877113,148222284904230
164053888790299,104285341450576
224953190450893,236013085724810
141531808182991,182074148721492
62275308835745,92559950224430
102013128244675,64296812233112
276942523210165,95574805691922
205844034716663,248034400636956
247335684975881,84149955795510
36135855929707,193285924569824
263243016085917,119034810045594
169666240991775,221612468198884
214236955069297,66540972855614
86560015761939,30970067297576
65645000998533,232311390778402
126584797773127,148495911427244
192168115261145,188809499992390
117960951314363,10466731985008
63342220120173,57515566513322
187302287271279,114398768557172
60487821285185,118240550120014
117651780123235,236874414230712
227995613214549,127097677499954
62426569435799,162181513407804
134576811148457,160809732901974
160133446658571,175295928455680
207624472744765,166251720280250
108837868530879,16775789657860
18037263791889,214053593376606
148627793143475,53361396086856
108340932445221,148402092674114
171568600452071,75119016149452
256809904754297,152825060825958
262174167552091,161236161765264
224166702901773,63010019735754
244489375442959,219155021878676
171999921220321,166762996254830
18985547777795,103765862442968
139180333704437,200006831795794
71735001227575,152659281271388
180945043565641,124932588408438
40792828832427,99268170740000
55339345401053,199615539383514
57849165600607,221828059279396
156478286230193,141791993236862
73157938633555,64578403294056
31880150915525,154559306200162
167127704939143,254878584141548
254303577349657,26310978528646
115604463794427,23967526930096
265067772416941,136002160510186
234021032901295,69466893995700
18494571794049,101208026723982
229202485617571,27403369370360
5699238191765,133346581159538
69868414642135,89717812287356
209866633094121,278634994933910
94773924674379,90467323486272
101857072260733,3551147041018
76978742530559,31151268606276
3387569978961,227271215367070
18582663208947,259495386467976
126015308595045,158403293342850
102770347612455,103580709878796
71430077398457,134543565111206
261290104713627,12983811440080
