N,h,Cajas,Trapezoide,Simpson,Error_Cajas,Error_Trapezoide,Error_Simpson
10,0.400000000000000,1.762261225263238,1.762261225263238,1.763959304568211,0.001077880273589,0.001077880273589,0.000115339105191
20,0.200000000000000,1.763677621597551,1.763677621597551,1.764149753708988,0.000275008594656,0.000275008594656,0.000007384701679
30,0.133333333333333,1.763946350568538,1.763946350568538,1.764160207425248,0.000122681964823,0.000122681964823,0.000001459105487
40,0.100000000000000,1.764040880791122,1.764040880791123,1.764161967188978,0.000069098347951,0.000069098347951,0.000000461599050
50,0.080000000000000,1.764084718160349,1.764084718160349,1.764162448010574,0.000044249524654,0.000044249524654,0.000000189049601
60,0.066666666666667,1.764108553165771,1.764108553165771,1.764162620698182,0.000030738863579,0.000030738863579,0.000000091163164
70,0.057142857142857,1.764122932445357,1.764122932445357,1.764162694718717,0.000022588096690,0.000022588096690,0.000000049205281
80,0.050000000000000,1.764132268179521,1.764132268179521,1.764162730642322,0.000017296218717,0.000017296218717,0.000000028842305
90,0.044444444444444,1.764138670105669,1.764138670105669,1.764162749759857,0.000013667343755,0.000013667343755,0.000000018005700
100,0.040000000000000,1.764143250053222,1.764143250053222,1.764162760684180,0.000011071241172,0.000011071241172,0.000000011813345
