N,h,Cajas,Trapezoide,Simpson,Error_Cajas,Error_Trapezoide,Error_Simpson
10,0.200000000000000,1.488736679527334,1.488736679527334,1.493674109820692,0.003288315067580,0.003288315067580,0.000017302732131
20,0.100000000000000,1.492421592263499,1.492421592263499,1.493649896508887,0.000821259857214,0.000821259857214,0.000001091879575
30,0.066666666666667,1.493103178320824,1.493103178320824,1.493648588240604,0.000364936857341,0.000364936857341,0.000000215991781
40,0.050000000000000,1.493341673879747,1.493341673879746,1.493648367751829,0.000205263683669,0.000205263683669,0.000000068374180
50,0.040000000000000,1.493452052792902,1.493452052792902,1.493648307465258,0.000131364817587,0.000131364817587,0.000000028012220
60,0.033333333333333,1.493512008933886,1.493512008933886,1.493648285804907,0.000091224081401,0.000091224081401,0.000000013510579
70,0.028571428571429,1.493548159651763,1.493548159651763,1.493648276518317,0.000067021115610,0.000067021115610,0.000000007293192
80,0.025000000000000,1.493571622477958,1.493571622477958,1.493648272010696,0.000051312714419,0.000051312714419,0.000000004275332
90,0.022222222222222,1.493587708341453,1.493587708341454,1.493648269611629,0.000040543202034,0.000040543202034,0.000000002669152
100,0.020000000000000,1.493599214378702,1.493599214378702,1.493648268240636,0.000032839890944,0.000032839890944,0.000000001751270
