N,h,Cajas,Trapezoide,Simpson,Error_Cajas,Error_Trapezoide,Error_Simpson
10,0.600000000000000,1.772376955623153,1.772376955623154,1.773647733306555,0.000021293490718,0.000021293490718,0.000695681879604
20,0.300000000000000,1.772404067274799,1.772404067274799,1.772413104492015,0.000005997041360,0.000005997041361,0.000000898224908
30,0.200000000000000,1.772409856881954,1.772409856881954,1.772414339697973,0.000002730533152,0.000002730533152,0.000000201319178
40,0.150000000000000,1.772411950683834,1.772411950683834,1.772414578486846,0.000001549205845,0.000001549205845,0.000000066594007
50,0.120000000000000,1.772412932120333,1.772412932120333,1.772414647169390,0.000000995477364,0.000000995477364,0.000000027843175
60,0.100000000000000,1.772413468560425,1.772413468560426,1.772414672453248,0.000000692816765,0.000000692816765,0.000000013577970
70,0.085714285714286,1.772413793153115,1.772413793153116,1.772414683441404,0.000000509680905,0.000000509680905,0.000000007378430
80,0.075000000000000,1.772414004285742,1.772414004285742,1.772414688819709,0.000000390559445,0.000000390559445,0.000000004343979
90,0.066666666666667,1.772414149247156,1.772414149247156,1.772414691698018,0.000000308771919,0.000000308771919,0.000000002720032
100,0.060000000000000,1.772414253041992,1.772414253041992,1.772414693349212,0.000000250210660,0.000000250210659,0.000000001788425
